time(s);category;event;details
10;COMM;STATE_CHANGE;nil->Receiver
5540;COMM;STATE_CHANGE;Receiver->Re/Tr
5970;COMM;STATE_CHANGE;Re/Tr->Receiver
10940;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#1
10950;COMM;STATE_CHANGE;Receiver->Re/Tr
10960;COMM;STATE_CHANGE;Re/Tr->Receiver
10960;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#2
10970;COMM;STATE_CHANGE;Receiver->Re/Tr
10980;COMM;STATE_CHANGE;Re/Tr->Receiver
10980;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#3
10990;COMM;STATE_CHANGE;Receiver->Re/Tr
11000;COMM;STATE_CHANGE;Re/Tr->Receiver
11000;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#4
11010;COMM;STATE_CHANGE;Receiver->Re/Tr
11020;COMM;STATE_CHANGE;Re/Tr->Receiver
11020;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#5
11030;COMM;STATE_CHANGE;Receiver->Re/Tr
11040;COMM;STATE_CHANGE;Re/Tr->Receiver
11040;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#6
11050;COMM;STATE_CHANGE;Receiver->Re/Tr
11060;COMM;STATE_CHANGE;Re/Tr->Receiver
11060;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#7
11070;COMM;STATE_CHANGE;Receiver->Re/Tr
11690;COMM;STATE_CHANGE;Re/Tr->Receiver
11690;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#8
11700;COMM;STATE_CHANGE;Receiver->Re/Tr
11710;COMM;STATE_CHANGE;Re/Tr->Receiver
11710;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#9
11720;COMM;STATE_CHANGE;Receiver->Re/Tr
11730;COMM;STATE_CHANGE;Re/Tr->Receiver
11730;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#10
11740;COMM;STATE_CHANGE;Receiver->Re/Tr
11750;COMM;STATE_CHANGE;Re/Tr->Receiver
11750;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#11
11760;COMM;STATE_CHANGE;Receiver->Re/Tr
11770;COMM;STATE_CHANGE;Re/Tr->Receiver
11770;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#12
11780;COMM;STATE_CHANGE;Receiver->Re/Tr
11790;COMM;STATE_CHANGE;Re/Tr->Receiver
11790;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#13
11800;COMM;STATE_CHANGE;Receiver->Re/Tr
11810;COMM;STATE_CHANGE;Re/Tr->Receiver
11810;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#14
11820;COMM;STATE_CHANGE;Receiver->Re/Tr
11830;COMM;STATE_CHANGE;Re/Tr->Receiver
11830;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#15
11840;COMM;STATE_CHANGE;Receiver->Re/Tr
11850;COMM;STATE_CHANGE;Re/Tr->Receiver
11850;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#16
11860;COMM;STATE_CHANGE;Receiver->Re/Tr
11870;COMM;STATE_CHANGE;Re/Tr->Receiver
11870;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#17
11880;COMM;STATE_CHANGE;Receiver->Re/Tr
11890;COMM;STATE_CHANGE;Re/Tr->Receiver
11890;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#18
11900;COMM;STATE_CHANGE;Receiver->Re/Tr
11910;COMM;STATE_CHANGE;Re/Tr->Receiver
11910;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#19
11920;COMM;STATE_CHANGE;Receiver->Re/Tr
11930;COMM;STATE_CHANGE;Re/Tr->Receiver
11930;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#20
11940;COMM;STATE_CHANGE;Receiver->Re/Tr
11950;COMM;STATE_CHANGE;Re/Tr->Receiver
16710;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#21
16720;COMM;STATE_CHANGE;Receiver->Re/Tr
16730;COMM;STATE_CHANGE;Re/Tr->Receiver
16730;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#22
16740;COMM;STATE_CHANGE;Receiver->Re/Tr
16750;COMM;STATE_CHANGE;Re/Tr->Receiver
16750;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#23
16760;COMM;STATE_CHANGE;Receiver->Re/Tr
16770;COMM;STATE_CHANGE;Re/Tr->Receiver
16770;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#24
16780;COMM;STATE_CHANGE;Receiver->Re/Tr
16790;COMM;STATE_CHANGE;Re/Tr->Receiver
16790;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#25
16800;COMM;STATE_CHANGE;Receiver->Re/Tr
16810;COMM;STATE_CHANGE;Re/Tr->Receiver
16810;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#26
16820;COMM;STATE_CHANGE;Receiver->Re/Tr
16830;COMM;STATE_CHANGE;Re/Tr->Receiver
16830;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#27
16840;COMM;STATE_CHANGE;Receiver->Re/Tr
16850;COMM;STATE_CHANGE;Re/Tr->Receiver
16850;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#28
16860;COMM;STATE_CHANGE;Receiver->Re/Tr
16870;COMM;STATE_CHANGE;Re/Tr->Receiver
16870;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#29
16880;COMM;STATE_CHANGE;Receiver->Re/Tr
16890;COMM;STATE_CHANGE;Re/Tr->Receiver
16890;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#30
16900;COMM;STATE_CHANGE;Receiver->Re/Tr
16910;COMM;STATE_CHANGE;Re/Tr->Receiver
16910;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#31
16920;COMM;STATE_CHANGE;Receiver->Re/Tr
16930;COMM;STATE_CHANGE;Re/Tr->Receiver
16930;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#32
16940;COMM;STATE_CHANGE;Receiver->Re/Tr
16950;COMM;STATE_CHANGE;Re/Tr->Receiver
16950;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#33
16960;COMM;STATE_CHANGE;Receiver->Re/Tr
16970;COMM;STATE_CHANGE;Re/Tr->Receiver
16970;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#34
16980;COMM;STATE_CHANGE;Receiver->Re/Tr
16990;COMM;STATE_CHANGE;Re/Tr->Receiver
16990;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#35
17000;COMM;STATE_CHANGE;Receiver->Re/Tr
17010;COMM;STATE_CHANGE;Re/Tr->Receiver
17010;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#36
17020;COMM;STATE_CHANGE;Receiver->Re/Tr
17030;COMM;STATE_CHANGE;Re/Tr->Receiver
17030;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#37
17040;COMM;STATE_CHANGE;Receiver->Re/Tr
17050;COMM;STATE_CHANGE;Re/Tr->Receiver
17050;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#38
17060;COMM;STATE_CHANGE;Receiver->Re/Tr
17070;COMM;STATE_CHANGE;Re/Tr->Receiver
17070;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#39
17080;COMM;STATE_CHANGE;Receiver->Re/Tr
17090;COMM;STATE_CHANGE;Re/Tr->Receiver
17240;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#40
17250;COMM;STATE_CHANGE;Receiver->Re/Tr
17260;COMM;STATE_CHANGE;Re/Tr->Receiver
17260;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#41
17270;COMM;STATE_CHANGE;Receiver->Re/Tr
17280;COMM;STATE_CHANGE;Re/Tr->Receiver
17280;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#42
17290;COMM;STATE_CHANGE;Receiver->Re/Tr
17300;COMM;STATE_CHANGE;Re/Tr->Receiver
17300;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#43
17310;COMM;STATE_CHANGE;Receiver->Re/Tr
17320;COMM;STATE_CHANGE;Re/Tr->Receiver
17320;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#44
17330;COMM;STATE_CHANGE;Receiver->Re/Tr
17340;COMM;STATE_CHANGE;Re/Tr->Receiver
17340;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#45
17350;COMM;STATE_CHANGE;Receiver->Re/Tr
17360;COMM;STATE_CHANGE;Re/Tr->Receiver
17360;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#46
17370;COMM;STATE_CHANGE;Receiver->Re/Tr
17380;COMM;STATE_CHANGE;Re/Tr->Receiver
17380;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#47
17390;COMM;STATE_CHANGE;Receiver->Re/Tr
17400;COMM;STATE_CHANGE;Re/Tr->Receiver
17400;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#48
17410;COMM;STATE_CHANGE;Receiver->Re/Tr
17420;COMM;STATE_CHANGE;Re/Tr->Receiver
