time(s);battery;memory;orbit;obc;eps;communication;EDC;Longitude;Latitude;total_drop;active_PCDs;onGS
10;99.99639;0;;;;;;-0.12725814;0.6151583;6.9444446E-4;None;NO
20;99.988075;3.0E-4;sun;On;On;Receiver;Off;-0.25454602;1.2303153;0.0022944445;None;NO
30;99.988075;6.0E-4;sun;On;On;Receiver;Off;-0.3818834;1.8454696;0.0022944445;None;NO
40;99.988075;9.0E-4;sun;On;On;Receiver;Off;-0.5092901;2.4606197;0.0022944445;None;NO
50;99.988075;0.0012;sun;On;On;Receiver;Off;-0.6367859;3.0757644;0.0022944445;None;NO
60;99.988075;0.0015;sun;On;On;Receiver;Off;-0.76439077;3.6909022;0.0022944445;None;NO
70;99.988075;0.0018;sun;On;On;Receiver;Off;-0.8921248;4.3060317;0.0022944445;None;NO
80;99.988075;0.0021;sun;On;On;Receiver;Off;-1.020008;4.9211516;0.0022944445;None;NO
90;99.988075;0.0024;sun;On;On;Receiver;Off;-1.1480608;5.5362606;0.0022944445;None;NO
100;99.988075;0.0027;sun;On;On;Receiver;Off;-1.2763036;6.1513567;0.0022944445;None;NO
110;99.988075;0.003;sun;On;On;Receiver;Off;-1.404757;6.7664394;0.0022944445;None;NO
120;99.988075;0.0033;sun;On;On;Receiver;Off;-1.5334418;7.3815064;0.0022944445;None;NO
130;99.988075;0.0036;sun;On;On;Receiver;Off;-1.6623791;7.996557;0.0022944445;None;NO
140;99.988075;0.0039;sun;On;On;Receiver;Off;-1.7915901;8.611589;0.0022944445;None;NO
150;99.988075;0.0042;sun;On;On;Receiver;Off;-1.9210964;9.226602;0.0022944445;None;NO
160;99.988075;0.0045;sun;On;On;Receiver;Off;-2.0509198;9.841593;0.0022944445;None;NO
170;99.988075;0.0048;sun;On;On;Receiver;Off;-2.1810822;10.456561;0.0022944445;None;NO
180;99.988075;0.0051;sun;On;On;Receiver;Off;-2.3116064;11.071506;0.0022944445;None;NO
190;99.988075;0.0054;sun;On;On;Receiver;Off;-2.4425151;11.686424;0.0022944445;None;NO
200;99.988075;0.0057;sun;On;On;Receiver;Off;-2.5738313;12.301315;0.0022944445;None;NO
210;99.988075;0.006;sun;On;On;Receiver;Off;-2.7055783;12.916177;0.0022944445;None;NO
220;99.988075;0.0063;sun;On;On;Receiver;Off;-2.8377807;13.531008;0.0022944445;None;NO
230;99.988075;0.0066;sun;On;On;Receiver;Off;-2.9704626;14.145806;0.0022944445;None;NO
240;99.988075;0.0069;sun;On;On;Receiver;Off;-3.1036487;14.7605715;0.0022944445;None;NO
250;99.988075;0.0072;sun;On;On;Receiver;Off;-3.2373648;15.375299;0.0022944445;None;NO
260;99.988075;0.0075;sun;On;On;Receiver;Off;-3.3716364;15.989991;0.0022944445;None;NO
270;99.988075;0.0078;sun;On;On;Receiver;Off;-3.5064905;16.604643;0.0022944445;None;NO
280;99.988075;0.0081;sun;On;On;Receiver;Off;-3.6419537;17.219252;0.0022944445;None;NO
290;99.988075;0.0084;sun;On;On;Receiver;Off;-3.7780542;17.83382;0.0022944445;None;NO
300;99.988075;0.0087;sun;On;On;Receiver;Off;-3.9148202;18.448341;0.0022944445;None;NO
310;99.988075;0.009;sun;On;On;Receiver;Off;-4.0522804;19.062817;0.0022944445;None;NO
320;99.988075;0.0093;sun;On;On;Receiver;Off;-4.1904655;19.67724;0.0022944445;None;NO
330;99.988075;0.0096;sun;On;On;Receiver;Off;-4.3294053;20.291615;0.0022944445;None;NO
340;99.988075;0.0099;sun;On;On;Receiver;Off;-4.469132;20.905935;0.0022944445;None;NO
350;99.988075;0.0102;sun;On;On;Receiver;Off;-4.6096773;21.5202;0.0022944445;None;NO
360;99.988075;0.0105;sun;On;On;Receiver;Off;-4.7510743;22.134407;0.0022944445;None;NO
370;99.988075;0.0108;sun;On;On;Receiver;Off;-4.8933578;22.748552;0.0022944445;None;NO
380;99.988075;0.0111;sun;On;On;Receiver;Off;-5.036563;23.362637;0.0022944445;None;NO
390;99.988075;0.0114;sun;On;On;Receiver;Off;-5.1807256;23.976656;0.0022944445;None;NO
400;99.988075;0.0117;sun;On;On;Receiver;Off;-5.325883;24.590605;0.0022944445;None;NO
410;99.988075;0.012;sun;On;On;Receiver;Off;-5.472074;25.204485;0.0022944445;None;NO
420;99.988075;0.0123;sun;On;On;Receiver;Off;-5.6193385;25.818293;0.0022944445;None;NO
430;99.988075;0.0126;sun;On;On;Receiver;Off;-5.767718;26.432024;0.0022944445;None;NO
440;99.988075;0.0129;sun;On;On;Receiver;Off;-5.9172535;27.045675;0.0022944445;None;NO
450;99.988075;0.0132;sun;On;On;Receiver;Off;-6.0679903;27.659245;0.0022944445;None;NO
460;99.988075;0.0135;sun;On;On;Receiver;Off;-6.219973;28.27273;0.0022944445;None;NO
470;99.988075;0.0138;sun;On;On;Receiver;Off;-6.3732495;28.886127;0.0022944445;None;NO
480;99.988075;0.0141;sun;On;On;Receiver;Off;-6.527868;29.499432;0.0022944445;None;NO
490;99.988075;0.0144;sun;On;On;Receiver;Off;-6.6838784;30.112642;0.0022944445;None;NO
500;99.988075;0.0147;sun;On;On;Receiver;Off;-6.841334;30.725754;0.0022944445;None;NO
510;99.988075;0.015;sun;On;On;Receiver;Off;-7.0002885;31.338762;0.0022944445;None;NO
520;99.988075;0.0153;sun;On;On;Receiver;Off;-7.1607985;31.951664;0.0022944445;None;NO
530;99.988075;0.0156;sun;On;On;Receiver;Off;-7.322923;32.564457;0.0022944445;None;NO
540;99.988075;0.0159;sun;On;On;Receiver;Off;-7.4867225;33.177135;0.0022944445;None;NO
550;99.988075;0.0162;sun;On;On;Receiver;Off;-7.652261;33.789692;0.0022944445;None;NO
560;99.988075;0.0165;sun;On;On;Receiver;Off;-7.819603;34.40213;0.0022944445;None;NO
570;99.988075;0.0168;sun;On;On;Receiver;Off;-7.9888186;35.01444;0.0022944445;None;NO
580;99.988075;0.0171;sun;On;On;Receiver;Off;-8.159979;35.62661;0.0022944445;None;NO
590;99.988075;0.0174;sun;On;On;Receiver;Off;-8.3331585;36.238647;0.0022944445;None;NO
600;99.988075;0.0177;sun;On;On;Receiver;Off;-8.508435;36.85054;0.0022944445;None;NO
610;99.988075;0.018;sun;On;On;Receiver;Off;-8.68589;37.462284;0.0022944445;None;NO
620;99.988075;0.0183;sun;On;On;Receiver;Off;-8.865609;38.073875;0.0022944445;None;NO
630;99.988075;0.0186;sun;On;On;Receiver;Off;-9.04768;38.685303;0.0022944445;None;NO
640;99.988075;0.0189;sun;On;On;Receiver;Off;-9.232195;39.296562;0.0022944445;None;NO
